block,precip,clip,excl,side,rep,2019-07-31,2019-08-01,2019-08-02,2019-08-03,2019-08-10,2019-08-17,2019-08-24,2019-08-31,2019-09-07,2019-09-14,2019-09-21,2019-09-28,2019-10-18,2019-11-17,2019-12-21,2020-01-18,2020-08-29,,,,,
3,Control,Clipped,Rodents,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Total,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Control,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Ants,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Rodents,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Total,S,3,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Control,N,3,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Ants,N,3,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Rodents,N,3,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Total,N,3,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Control,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Unclipped,Ants,S,3,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Rodents,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Unclipped,Total,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Control,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Ants,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Rodents,N,3,0,0,0,0,1,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Clipped,Total,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Control,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Ants,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Rodents,S,3,0,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Clipped,Total,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Control,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Ants,N,3,0,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Unclipped,Rodents,N,3,0,0,0,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Unclipped,Total,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Control,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Ants,S,3,0,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Unclipped,Rodents,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Total,S,3,0,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Control,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Clipped,Ants,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Clipped,Rodents,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Clipped,Total,N,3,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Control,S,3,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Ants,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Clipped,Rodents,S,3,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Total,S,3,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Control,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Unclipped,Ants,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Unclipped,Rodents,N,3,0,1,1,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
3,IR,Unclipped,Total,N,3,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Control,S,3,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Ants,S,3,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Rodents,S,3,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Total,S,3,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Control,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Ants,N,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Rodents,N,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Total,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Control,S,4,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Ants,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Rodents,S,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Total,S,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Control,N,4,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Ants,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Unclipped,Rodents,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Unclipped,Total,N,4,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Control,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Unclipped,Ants,S,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Rodents,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Unclipped,Total,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Control,N,4,0,0,0,0,1-Herb,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
3,RO,Clipped,Ants,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Rodents,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Total,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Control,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Ants,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Rodents,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Total,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Control,N,4,Herb,Herb,Herb,Herb,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
3,RO,Unclipped,Ants,N,4,0,0,0,0,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
3,RO,Unclipped,Rodents,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Total,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Control,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Ants,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Rodents,S,4,0,0,0,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Unclipped,Total,S,4,0,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Control,N,4,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Ants,N,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Rodents,N,4,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Total,N,4,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Control,S,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Ants,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Clipped,Rodents,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Clipped,Total,S,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Control,N,4,0,0,1,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
3,IR,Unclipped,Ants,N,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Rodents,N,4,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Total,N,4,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Control,S,4,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Ants,S,4,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Rodents,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Unclipped,Total,S,4,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Control,N,5,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Ants,N,5,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Rodents,N,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Total,N,5,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Control,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Ants,S,5,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Clipped,Rodents,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Clipped,Total,S,5,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Control,N,5,0,0,Herb,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Ants,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,Control,Unclipped,Rodents,N,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Total,N,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Control,S,5,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Ants,S,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Rodents,S,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,Control,Unclipped,Total,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Control,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Ants,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Rodents,N,5,0,0,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Clipped,Total,N,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Dead?,,,,,
3,RO,Clipped,Control,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Ants,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Clipped,Rodents,S,5,0,0,0,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Clipped,Total,S,5,0,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Unclipped,Control,N,5,Herb,Herb,Herb,Herb,1-Herb,1-Herb,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
3,RO,Unclipped,Ants,N,5,0,0,0,0,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
3,RO,Unclipped,Rodents,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Total,N,5,0,0,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Unclipped,Control,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Ants,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,RO,Unclipped,Rodents,S,5,0,0,0,0,1,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,RO,Unclipped,Total,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Clipped,Control,N,5,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Ants,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Clipped,Rodents,N,5,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Total,N,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Control,S,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Ants,S,5,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Rodents,S,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Clipped,Total,S,5,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Control,N,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Ants,N,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Rodents,N,5,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Total,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Unclipped,Control,S,5,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
3,IR,Unclipped,Ants,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Unclipped,Rodents,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,IR,Unclipped,Total,S,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Clipped,Control,N,1,0,0,1,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
4,Control,Clipped,Ants,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Clipped,Rodents,N,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Clipped,Total,N,1,0,1,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Clipped,Control,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Clipped,Ants,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Clipped,Rodents,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Clipped,Total,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Unclipped,Control,N,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Unclipped,Ants,N,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Unclipped,Rodents,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Unclipped,Total,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Unclipped,Control,S,1,0,0,0,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,,,,,
4,Control,Unclipped,Ants,S,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Unclipped,Rodents,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Unclipped,Total,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Clipped,Control,N,1,0,0,1,1,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
4,RO,Clipped,Ants,N,1,0,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,RO,Clipped,Rodents,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Clipped,Total,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Clipped,Control,S,1,0,0,0,0,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,,,,,
4,RO,Clipped,Ants,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Clipped,Rodents,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Clipped,Total,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Unclipped,Control,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Unclipped,Ants,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Unclipped,Rodents,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Unclipped,Total,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Unclipped,Control,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Unclipped,Ants,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Unclipped,Rodents,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,RO,Unclipped,Total,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,IR,Clipped,Control,N,1,0,1,1-Herb,1-Herb,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
4,IR,Clipped,Ants,N,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Clipped,Rodents,N,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Clipped,Total,N,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Clipped,Control,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,IR,Clipped,Ants,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Clipped,Rodents,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Clipped,Total,S,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Unclipped,Control,N,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Unclipped,Ants,N,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Unclipped,Rodents,N,1,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Unclipped,Total,N,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Unclipped,Control,S,1,0,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,Herb,,,,,
4,IR,Unclipped,Ants,S,1,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,IR,Unclipped,Rodents,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,IR,Unclipped,Total,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Clipped,Control,N,2,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Clipped,Ants,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Clipped,Rodents,N,2,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Clipped,Total,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Clipped,Control,S,2,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Clipped,Ants,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Clipped,Rodents,S,2,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Clipped,Total,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Unclipped,Control,N,2,0,1,1,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
4,Control,Unclipped,Ants,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
4,Control,Unclipped,Rodents,N,2,0,0,1,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,1-HerbX,,,,,
4,Control,Unclipped,Total,N,2,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Unclipped,Control,S,2,0,0,0,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
4,Control,Unclipped,Ants,S,2,0,0,1,1,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,Died,,,,,
